"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРОФИКА СО""";г. Москва, вн.тер.г. муниципальный округ Ростокино, ул Малахитовая, влд. 27, стр. 1, помещ. 36А
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОКОННО-ДВЕРНЫЕ КОНСТРУКЦИИ""";г. Москва, вн.тер.г. муниципальный округ Южное Тушино, проезд Строительный, д. 7А, к. 3, эт./помещ. 1/I, офис 56
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СПЕЦИАЛИЗИРОВАННЫЙ ПОДРЯДЧИК ""ЛИФТОВАЯ КОМПАНИЯ""";г. Москва, вн.тер.г. муниципальный округ Хамовники, ул Льва Толстого, д. 5, стр. 1, этаж 5, помещ. 1, КОМНАТА 2,3,4 (А-513)
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЛИНИТ""";г. Москва, вн.тер.г. муниципальный округ Дорогомилово, пр-кт Кутузовский, д. 5/3, к. 2, кв. 29
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РУСПЛАТФОРМА""";г. Москва, вн.тер.г. муниципальный округ Алексеевский, ул Староалексеевская, д. 5, этаж 4А ПОМЕЩ. №450
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГЛОНАСС ОНЛАЙН""";г. Москва, вн.тер.г. муниципальный округ Коньково, ул Бутлерова, д. 17Б, эт/пом/ком 2/XI/65
АКЦИОНЕРНОЕ ОБЩЕСТВО «ЛГМ АКВА»;г. Москва, вн.тер.г. муниципальный округ Обручевский, ул Архитектора Власова, д. 49, офис 421Б
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЛЬТЕРНАТИВНЫЕ ИННОВАЦИОННЫЕ СИСТЕМНЫЕ ТЕХНОЛОГИИ""";г. Москва, вн.тер.г. муниципальный округ Дмитровский, ш Дмитровское, д. 110, стр. 1, этаж/помещ. 2/ХХХ, ком. 46
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОРИНОЛ""";г. Москва, вн.тер.г. муниципальный округ Басманный, ул Покровка, д. 31, стр. 2, этаж/помещ 1/I, ком./офис 4/2-4
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЦИФРОВОЙ ГОРОД""";г. Москва, вн.тер.г. муниципальный округ Фили-Давыдково, пр-кт Кутузовский, д. 67, к. 2, пом/ком/оф V/4/126
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АВАНГАРД""";г. Москва, вн.тер.г. муниципальный округ Перово, ш Энтузиастов, д. 34, этаж/помещ. 1/I, ком./офис 37/У49
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДОБРЫНИНСКИЙ МЕТИЗНЫЙ ЗАВОД""";г. Москва, вн.тер.г. поселение Московский, г. Московский, ул Георгиевская, д. 11, кв. 231
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОНЕЙРОНИКС""";г. Москва, вн.тер.г. муниципальный округ Куркино, ул Родионовская, д. 12, к. 1, помещ. 4/Ц, ком. 8
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МЕТАЛЛСТРОЙКОМПЛЕКТ""";г. Москва, вн.тер.г. муниципальный округ Филевский парк, пр-д Багратионовский, д. 12А, ком. 20
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТЕХНОСЭЙФ""";г. Москва, вн.тер.г. муниципальный округ Пресненский, наб Пресненская, д. 12, этаж 42, помещ. 15
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МАДЕМ""";г. Москва, вн.тер.г. муниципальный округ Мещанский, б-р Цветной, д. 30, стр. 1, этаж/помещ. 3/I КОМ./ОФИС 14/1
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЖАР ЦВЕТ""";г. Москва, вн.тер.г. муниципальный округ Царицыно, ул Каспийская, д. 22, к. 1, стр. 5, эт./пом, 5/IX, ком./оф. 17А/223
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИМОЙЛ ТЕКНОЛОДЖИС""";г. Москва, вн.тер.г. муниципальный округ Покровское-Стрешнево, ш Волоколамское, двлд. 89, этаж 4 ОФИС 427
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЗОЛОТАЯ ФОРТУНА""";г. Москва, вн.тер.г. муниципальный округ Покровское-Стрешнево, ул Водников, д. 2, эт./помещ. 1/V, офис 10
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОБЕДИНКА""";г. Москва, вн.тер.г. поселение Сосенское, д Летово, ул Зимёнковская, д. 61
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РУБИНДРАЙВ""";г. Москва, вн.тер.г. муниципальный округ Пресненский, ул Малая Грузинская, д. 28, этаж 14, ПОМ. V, комн. 12, ОФИС 105
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НОРВЕН ВОРМ""";г. Москва, вн.тер.г. муниципальный округ Марьина роща, ул Октябрьская, д. 1, помещ. III, ЭТАЖ 1, ком. 8
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СИТЦЕВОЕ ЛЕТО""";г. Москва, вн.тер.г. муниципальный округ Алексеевский, пр-кт Мира, д. 102, к. 1, этаж 7, ком. 3,ОФИС 25
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МАСТЕР МОНТАЖ""";г. Москва, вн.тер.г. городской округ Троицк, г Троицк, ул Физическая, д. 25, помещ. 5
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АВЭКО""";г. Москва, вн.тер.г. муниципальный округ Нагорный, ул Артековская, д. 9, к. 1, кв. 71
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДЕКС""";г. Москва, вн.тер.г. муниципальный округ Хорошевский, туп 1-й Магистральный, д. 11, стр. 1, этаж/помещ./ком./офис 1/II/1/21М
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЭЛЕМЕНТ МЕТАЛЛ ГРУПП""";г. Москва, вн.тер.г. муниципальный округ Даниловский, ул Хавская, д. 18, к. 2, этаж 2, помещ./ком. IX/17
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДЕЛЬТАФАРМ""";г. Москва, вн.тер.г. муниципальный округ Раменки, ул Мосфильмовская, д. 35, стр. 2, офис 506
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВАТЕРПАС""";г. Москва, вн.тер.г. муниципальный округ Таганский, ул Рабочая, д. 33, кв. 97
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНТЕРМ""";г. Москва, вн.тер.г. муниципальный округ Царицыно, ул Каспийская, д. 22, к. 1, стр. 5, этаж/помещение 4/VIII, ком./офис 13/105
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МЕБЕЛЬПРОФ""";г. Москва, вн.тер.г. муниципальный округ Дмитровский, ш Дмитровское, д. 157, стр. 9, этаж 3, ком. 116
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДЕЛОВОЙ ПЛАСТИК""";г. Москва, вн.тер.г. муниципальный округ Даниловский, проезд 2-й Кожуховский, д. 29, к. 5, подв. №0, помещ. III, КОМ.4, ОФ.16
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВАРДО""";г. Москва, вн.тер.г. муниципальный округ Коньково, ул Бутлерова, д. 17Б, этаж/помещ. 3/XII, ком./офис/к. 86/4/93
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛИТНЕФТЕХИМ""";г. Москва, вн.тер.г. муниципальный округ Коньково, ул Бутлерова, д. 17Б, этаж/помещ. 2/XI, ком./офис 60Е/189
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МЕТПРОМ""";г. Москва, вн.тер.г. муниципальный округ Свиблово, ул Уржумская, д. 7, этаж ПОДВАЛ №0, ком. 34 ОФИС 45
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТОРГОВО-ПРОИЗВОДСТВЕННЫЙ ЮВЕЛИРНЫЙ ДОМ ""ЗОЛОТОЙ СТАНДАРТ""";г. Москва, вн.тер.г. муниципальный округ Тверской, ул 1-я Брестская, д. 35, этаж 5 КАБИНЕТ 514 Б
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИВИЛИЯ""";г. Москва, вн.тер.г. муниципальный округ Некрасовка, ул Рождественская, д. 21, к. 4, этаж/помещ. 1/I
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АТЛАС""";г. Москва, вн.тер.г. муниципальный округ Некрасовка, ул Рождественская, д. 21, к. 4, этаж/помещ. 1/I
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЛЕРТА""";г. Москва, вн.тер.г. муниципальный округ Печатники, ул Песчаный Карьер, д. 3, офис 305
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛИДЕР ПРОФИ""";г. Москва, вн.тер.г. муниципальный округ Войковский, ш Ленинградское, д. 33, ком. 1
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛЕД ЮНИОН""";г. Москва, вн.тер.г. муниципальный округ Нижегородский, ул 2-я Карачаровская, д. 1, стр. 1, этаж 1, ком. 171 ОФИС А9У
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""Е-КОМ ПРОДУКТ""";г. Москва, вн.тер.г. муниципальный округ Нагорный, ш Варшавское, д. 26, стр. 11, ком. 39
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВЫСОКОТЕМПЕРАТУРНЫЕ КАБЕЛЬНЫЕ СИСТЕМЫ""";г. Москва, вн.тер.г. муниципальный округ Пресненский, ул Пресненский Вал, д. 14, к. 2, кв. 55
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ШАГ""";г. Москва, вн.тер.г. поселение Десеновское, ул Яковлевская, д. 1А, офис 11
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АРГУС""";г. Москва, вн.тер.г. муниципальный округ Богородское, ул Краснобогатырская, д. 38, стр. 2, этаж 2, ком./офис 17/35
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РАСТЕКС УЮТ И КОМФОРТ""";г. Москва, вн.тер.г. муниципальный округ Нагатино-Садовники, ул Нагатинская, д. 16, этаж/помещ. 2/X, ком. 9
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КЕЙ ИНГРЕДИЕНТ""";г. Москва, вн.тер.г. муниципальный округ Тверской, ул Садовая-Триумфальная, д. 4-10, пом/ком/оф II/18/8
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГК АЛПЕКС""";г. Москва, вн.тер.г. муниципальный округ Донской, проезд 5-й Донской, д. 15, этаж 4, помещ./ком. IV/21
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АСТРА НОВА""";г. Москва, вн.тер.г. муниципальный округ Пресненский, пер Столярный, д. 3, к. 14, помещ./ком. I/6
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЮНИТЕКС""";г. Москва, вн.тер.г. муниципальный округ Хамовники, пер Олсуфьевский, д. 2/4, этаж 1, пом./ком. III/24
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТЕХМЕРЧ""";г. Москва, вн.тер.г. муниципальный округ Ломоносовский, пр-кт Ленинский, д. 95, этаж ЦОКОЛЬНЫЙ, помещ. Х, ОФИС 75
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СРГ ПЛЮС""";г. Москва, вн.тер.г. муниципальный округ Тропарево-Никулино, ул Академика Анохина, д. 2, к. 7, помещ. IX, ком. 3
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КУМПАН""";г. Москва, вн.тер.г. муниципальный округ Отрадное, проезд Сигнальный, д. 37Б, стр. 2, этаж 3, помещ. 35
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КВАДРО""";г. Москва, вн.тер.г. муниципальный округ Южнопортовый, ул 5-я Кожуховская, д. 9, помещ. VII, ком./офис 2/101
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ИНЖЕНЕРНАЯ КОМПАНИЯ ""СОВРЕМЕННЫЕ ТЕХНОЛОГИЧЕСКИЕ РЕШЕНИЯ""";г. Москва, вн.тер.г. поселение Сосенское, д Сосенки, ул Ясеневая, д. 1, к. 1
